Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
270,Calvin Ridley\RidlCa00,ATL,25,WR,13,10,2,34,2,30,15,4,2,0,
271,Willie Snead\SneaWi00,BAL,27,WR,16,11,2,2,0,2,1,0,0,0,
272,Jarrett Stidham\StidJa00,NWE,23,,3,0,2,-2,0,-2,-1,0,0,0,
273,De'Anthony Thomas\ThomDe05,2TM,26,,14,0,2,5,1,2,1,3,1.5,0,
274,Marquez Valdes-Scantling\ValdMa00,GNB,25,WR,16,10,2,9,0,6,3,3,1.5,0,
275,Darren Waller\WallDa01,OAK,27,TE,16,16,2,5,0,2,1,3,1.5,0,
276,Sammy Watkins\WatkSa00,KAN,26,WR,14,13,2,12,1,10,5,2,1,0,
277,Jamal Agnew\AgneJa00,DET,24,,13,0,1,9,1,6,6,3,3,0,
278,Geronimo Allison\AlliGe01,GNB,25,wr,16,6,1,7,0,5,5,2,2,0,
279,Robby Anderson\AndeRo04,NYJ,26,WR,16,15,1,4,0,4,4,0,0,0,
280,Bryan Anger\AngeBr00,HOU,31,,14,0,1,-5,,-5,-5,0,0,0,
281,Andrew Beck\BeckAn01,DEN,23,te,16,6,1,3,1,2,2,1,1,0,
282,Antonio Brown\BrowAn04,NWE,31,,1,0,1,5,1,5,5,0,0,0,
283,Derek Carrier\CarrDe00,OAK,29,,16,4,1,27,1,27,27,0,0,0,
284,Keelan Cole\ColeKe00,JAX,26,,16,1,1,6,0,1,1,5,5,0,
285,Amari Cooper*\CoopAm00,DAL,25,WR,16,16,1,6,0,5,5,1,1,0,
286,Pharoh Cooper\CoopPh00,2TM,24,,13,1,1,2,0,1,1,1,1,0,
287,Jamison Crowder\CrowJa00,NYJ,26,WR,16,12,1,4,0,0,0,4,4,1,1
288,Will Dissly\DissWi00,SEA,23,TE,6,6,1,7,0,5,5,2,2,0,
289,Tyler Ervin\ErviTy00,2TM,26,,10,0,1,10,1,3,3,7,7,1,1
290,Gerald Everett\EverGe00,LAR,25,,13,2,1,0,0,0,0,0,0,0,
291,Isaiah Ford\FordIs00,MIA,23,,8,0,1,11,1,0,0,11,11,1,1
292,Bennie Fowler\FowlBe00,NYG,28,,8,2,1,20,1,17,17,3,3,0,
293,John Franklin\FranJo04,TAM,25,,1,0,1,11,1,9,9,2,2,0,
294,Chris Godwin*\GodwCh00,TAM,23,WR,14,14,1,8,0,0,0,8,8,1,1
295,Marquise Goodwin\GoodMa00,SFO,29,wr,9,6,1,15,1,15,15,0,0,0,
296,Josh Gordon\GordJo02,2TM,28,,11,7,1,1,0,1,1,0,0,0,
297,Matt Haack\HaacMa00,MIA,25,,16,0,1,2,1,2,2,0,0,0,
298,Marvin Hall\HallMa02,DET,26,,9,0,1,7,0,4,4,3,3,0,
299,Erik Harris\HarrEr00,OAK,29,FS,16,14,1,4,1,4,4,0,0,0,
300,Johnny Holton\HoltJo00,PIT,28,/wr,16,3,1,9,1,7,7,2,2,0,
301,Adam Humphries\HumpAd00,TEN,26,,12,3,1,1,0,1,1,0,0,0,
302,Andy Janovich\JanoAn00,DEN,26,/fb,7,3,1,1,1,0,0,1,1,0,
303,Alshon Jeffery\JeffAl00,PHI,29,WR,10,10,1,2,1,1,1,1,1,0,
304,KeeSean Johnson\JohnKe07,ARI,23,,10,4,1,3,0,3,3,0,0,0,
305,Olabisi Johnson\JohnOl00,MIN,22,,16,6,1,6,0,4,4,2,2,0,
306,Colin Jones\JoneCo01,CAR,32,,16,0,1,5,1,5,5,0,0,0,
307,Zay Jones\JoneZa00,2TM,24,,15,9,1,3,0,3,3,0,0,0,
308,Travis Kelce*\KelcTr00,KAN,30,TE,16,16,1,4,1,3,3,1,1,0,
309,Brett Kern*+\KernBr20,TEN,33,,16,0,1,0,0,0,0,0,0,0,
310,Dawson Knox\KnoxDa00,BUF,23,TE,15,11,1,9,1,6,6,3,3,0,
311,Jarvis Landry *\LandJa00,CLE,27,WR,16,16,1,10,1,9,9,1,1,0,
312,Allen Lazard\LazaAl00,GNB,24,,16,3,1,21,1,15,15,6,6,1,1
313,Marqise Lee\LeexMa00,JAX,28,,6,1,1,1,0,1,1,0,0,0,
314,Vance McDonald\McDoVa00,PIT,29,TE,14,14,1,2,0,0,0,2,2,0,
315,Trace McSorley\McSoTr00,BAL,24,,1,0,1,1,1,0,0,1,1,0,
316,Anthony Miller\MillAn02,CHI,25,WR,16,7,1,-1,0,-1,-1,0,0,0,
317,Chris Moore\MoorCh00,BAL,26,,14,1,1,0,,0,0,0,0,0,
318,Alfred Morris\MorrAl00,ARI,31,,1,0,1,4,1,2,2,2,2,0,
319,Quenton Nelson*+\NelsQu00,IND,23,LG,16,16,1,0,,0,0,0,0,0,
320,Kalif Raymond\RaymKa00,TEN,25,,8,1,1,-5,0,-5,-5,0,0,0,
321,Paul Richardson\RichPa01,WAS,27,WR/wr,10,6,1,0,0,0,0,0,0,0,
322,Andre Roberts*\RobeAn00,BUF,31,,13,0,1,7,0,5,5,2,2,0,
323,Allen Robinson\RobiAl02,CHI,26,WR,16,15,1,2,0,2,2,0,0,0,
324,Ben Roethlisberger\RoetBe00,PIT,37,,2,2,1,7,0,7,7,0,0,0,
325,Chester Rogers\RogeCh02,IND,25,wr,12,6,1,18,1,18,18,0,0,0,
326,Da'Mari Scott\ScotDa02,NYG,24,,5,2,1,5,0,2,2,3,3,0,
327,Nick Scott\ScotNi01,LAR,24,,16,0,1,6,0,6,6,0,0,0,
328,Golden Tate\TateGo00,NYG,31,WR,11,10,1,16,1,12,12,4,4,0,
329,Michael Thomas*+\ThomMi05,NOR,26,WR,16,15,1,-9,0,-9,-9,0,0,0,
330,Danny Vitale\VitaDa00,GNB,26,,15,4,1,3,0,2,2,1,1,0,
331,Greg Ward\WardGr02,PHI,24,,7,3,1,5,0,5,5,0,0,0,
332,Trevon Wesco\WescTr00,NYJ,24,,16,1,1,2,1,-1,-1,3,3,0,
333,Mike Williams\WillMi07,LAC,25,WR,15,15,1,2,0,-1,-1,3,3,0,
334,Jarius Wright\WrigJa02,CAR,30,WR/wr,16,9,1,-7,0,-7,-7,0,0,1,1
